YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_SW_DWN,T2M,QV2M,PRECTOTCORR,WD10M
2019,5,25,7.95,0.68,351.05,142.89,147.55,18.14,0.46,7.65,25.35,10.86,0,278.19
2019,5,26,8.7,0.71,327.37,145.69,156.52,19.04,0.49,8.05,23.45,8.06,0,293.12
2019,5,27,8.39,0.7,336.16,144.7,152.45,18.52,0.5,7.92,24.08,8.48,0,223.56
2019,5,28,8.2,0.72,350.66,148.63,149.61,18.87,0.5,8.1,27.12,9.58,0,210.5
2019,5,29,8.41,0.73,352.71,152.24,152.88,19.48,0.51,8.33,29.57,9.16,0,179.69
2019,5,30,8.15,0.71,370.63,148.02,149.33,18.84,0.49,8.03,31.29,7.45,0,175.5
2019,5,31,8.02,0.66,379.25,139,147.48,17.78,0.46,7.51,31.05,8.61,0,186.62
2019,6,1,8.09,0.7,357.55,147.66,149.35,18.73,0.48,7.96,28.58,10.31,0,274.62
2019,6,2,8.23,0.72,356.93,151.85,152.55,19.41,0.51,8.15,27.38,10.56,0,264.5
2019,6,3,8.2,0.71,363.53,151.82,152.71,19.45,0.52,8.12,28.89,10.01,0,249
2019,6,4,7.9,0.66,381.21,141.77,147.96,18.09,0.48,7.52,28.98,10.19,4.55,247.56
2019,6,5,7.9,0.64,385.43,136.31,146.67,17.3,0.47,7.29,30.24,9.58,0,168.19
2019,6,6,7.83,0.45,407.04,96.43,145.39,12.52,0.34,5.11,29.69,9.7,0.16,218.19
2019,6,7,8.02,0.69,378.91,149.76,151.71,19.12,0.49,7.89,29.67,11.41,0.02,202.06
2019,6,8,7.72,0.63,387.31,136.95,144.4,17.2,0.44,7.27,26.77,12.21,0.01,277.88
2019,6,9,7.81,0.66,368.09,139.4,144.17,17.45,0.44,7.5,26.3,11.47,0,266.25
2019,6,10,8.28,0.72,349.23,151.51,151.87,19.3,0.5,8.22,27.5,7.87,0,206.38
2019,6,11,8.26,0.71,357.93,151.86,152.6,19.32,0.51,8.18,29.76,7.02,0,195.88
2019,6,12,8.2,0.7,364.58,149.3,153,19.08,0.48,7.95,27.68,10.13,0,263.56
2019,6,13,8.1,0.6,376.11,129.95,151.26,16.67,0.42,6.91,25.54,12.02,0,267.69
2019,6,14,8.2,0.66,369.3,142.4,153.02,18.31,0.46,7.57,25.85,11.29,0,274.19
2019,6,15,8.08,0.68,367.31,145.2,149.87,18.42,0.46,7.78,26.51,11.05,0,267.12
2019,6,16,8.26,0.71,371.01,153.15,154.94,19.71,0.52,8.13,28.24,10.86,0,251.38
2019,6,17,8.21,0.67,376.85,144.99,153.52,18.56,0.49,7.71,27.33,11.23,0,257.94
2019,6,18,8.29,0.69,369.59,147.58,155.34,18.95,0.51,7.85,26.69,11.84,0.01,255.31
2019,6,19,8.38,0.72,356.09,155.35,156.75,19.96,0.54,8.27,27.21,11.35,0,251.19
2019,6,20,8.4,0.7,361.65,150.64,156.3,19.51,0.53,8.03,26.84,10.8,0,254.94
2019,6,21,8.6,0.74,351.59,157.93,158.95,20.45,0.56,8.5,26.73,11.17,0,241.19
2019,6,22,8.41,0.71,362.29,151.29,155.66,19.46,0.53,8.12,26.9,11.9,0,266.94
2019,6,23,8.47,0.71,363.1,152.16,156.43,19.73,0.55,8.17,27.69,12.15,0,247.31
2019,6,24,8.47,0.73,366.11,155.3,155.64,19.9,0.56,8.4,29.4,11.41,0,236.25
2019,6,25,8.31,0.72,373.41,153.96,154.38,19.7,0.55,8.24,30.87,11.54,0,233.62
2019,6,26,8.27,0.71,368.77,151.7,152.48,19.31,0.55,8.18,30.44,13.55,0,272.5
2019,6,27,8.61,0.74,351.76,156.48,157.66,20.09,0.55,8.5,28.63,10.44,0,270.56
2019,6,28,8.58,0.73,360.1,154.3,157.94,20.09,0.57,8.31,27.19,12.21,0,255.44
2019,6,29,8.24,0.69,375.86,147.82,153.44,18.93,0.54,7.88,28.41,13.49,0,267.19
2019,6,30,8.2,0.69,377.58,146.83,151.91,18.84,0.52,7.86,28.78,13.61,0,269.31
